epoch,acc,loss,val_acc,val_loss
0,0.112883333333,0.177292003393,0.1135,0.177300012064
1,0.112366666667,0.177526679277,0.1135,0.177300012064
2,0.112366666667,0.177526678912,0.1135,0.177300012064
3,0.112366666667,0.177526679079,0.1135,0.177300012064
4,0.112366666667,0.177526679134,0.1135,0.177300012064
5,0.112366666667,0.177526679222,0.1135,0.177300012064
6,0.112366666667,0.177526679134,0.1135,0.177300012064
7,0.112366666667,0.177526679365,0.1135,0.177300012064
8,0.112366666667,0.177526679174,0.1135,0.177300012064
9,0.112366666667,0.177526678856,0.1135,0.177300012064
