epoch,acc,loss,val_acc,val_loss
0,0.943216666667,0.18712633032,0.958,0.128521876533
1,0.975466666667,0.0784663349853,0.9707,0.0887889372091
2,0.981983333333,0.0555576138008,0.9796,0.0664774663725
3,0.987166666667,0.0392494050225,0.9788,0.0772862469452
4,0.98955,0.0320887499205,0.9797,0.0734043897616
5,0.992116666667,0.0244167179226,0.9826,0.0684637146423
6,0.992466666667,0.0233113181177,0.9827,0.0729615171129
7,0.993316666667,0.0202086993047,0.9823,0.0755486181775
8,0.99415,0.0187802973253,0.9803,0.0873948933299
9,0.995266666667,0.0149045103362,0.9799,0.0984214343333
