epoch,acc,loss,val_acc,val_loss
0,0.9148,0.0143710533902,0.9658,0.00524437539824
1,0.977783333333,0.0035528864426,0.976,0.00377143848093
2,0.985683333333,0.00237808031558,0.9771,0.0033300708968
3,0.9902,0.00173401103674,0.979,0.00313407546485
4,0.992833333333,0.00127704175123,0.9809,0.00289493347805
5,0.995033333333,0.00097260124838,0.981,0.00280682539881
6,0.9961,0.0007698207197,0.9827,0.00269381036645
7,0.996883333333,0.000628502337243,0.982,0.00271412780681
8,0.997433333333,0.000517921577321,0.9834,0.00258034441317
9,0.997683333333,0.000450818161874,0.9834,0.00259140318329
