epoch,acc,loss,val_acc,val_loss
0,0.281316666667,0.0884313995043,0.4456,0.0862487895966
1,0.53015,0.0824989519199,0.5966,0.0765931594253
2,0.633133333333,0.0665895184656,0.7031,0.0538255981803
3,0.77505,0.0437697430839,0.8476,0.0334650934488
4,0.855633333333,0.0291140269016,0.8743,0.0238753210053
5,0.878133333333,0.0224938663791,0.8894,0.0194770916343
6,0.890466666667,0.0191442385978,0.8984,0.0171722376738
7,0.8981,0.017171563682,0.9064,0.0156704800226
8,0.904083333333,0.0158603665041,0.9116,0.0146408718056
9,0.909033333333,0.0149058865412,0.9165,0.0138323431334
