epoch,acc,loss,val_acc,val_loss
0,0.917383333333,0.166500751699,0.9452,0.111210036898
1,0.94855,0.102557167978,0.9536,0.0926531534851
2,0.95615,0.0876347845296,0.9527,0.0938641663134
3,0.957833333333,0.0841939031482,0.9518,0.096069514817
4,0.958233333333,0.0834108628372,0.9564,0.0871192103088
5,0.958783333333,0.0823436589301,0.9588,0.0824366671145
6,0.958133333333,0.0833344879299,0.9564,0.0871064583004
7,0.959333333333,0.0810833988428,0.9656,0.0683435409546
8,0.958783333333,0.0822718520006,0.9582,0.0830575888634
9,0.958366666667,0.0829978950769,0.949,0.102103168505
