epoch,acc,loss,val_acc,val_loss
0,0.31585,0.0857854587634,0.4985,0.0793434514761
1,0.589016666667,0.0711605683784,0.6697,0.0612227128685
2,0.719616666667,0.0528308513621,0.7934,0.0436496975183
3,0.8149,0.0386214367668,0.8456,0.0323507242888
4,0.849733333333,0.0301519685278,0.867,0.0261473161712
5,0.866816666667,0.0253730312531,0.8807,0.0225486378543
6,0.877583333333,0.022450077681,0.8883,0.0202758029893
7,0.885066666667,0.0204892681236,0.8946,0.0186935501061
8,0.8904,0.0190792771681,0.8987,0.017538535998
9,0.894666666667,0.0180051425323,0.9024,0.0166601566754
