epoch,acc,loss,val_acc,val_loss
0,0.935466666667,0.00969273346688,0.9624,0.00583912859496
1,0.967283333333,0.00508766705106,0.9718,0.00422523080574
2,0.974983333333,0.00398793930855,0.9713,0.00450778174384
3,0.977466666667,0.00361082057687,0.9728,0.00429823452905
4,0.981683333333,0.00294455879233,0.976,0.00382222865091
5,0.983666666667,0.00264398857407,0.9769,0.00390744524049
6,0.98515,0.00249746949205,0.9765,0.0039840760433
7,0.984133333333,0.00275627804014,0.9789,0.00363885642758
8,0.985316666667,0.00252500757299,0.9721,0.00488998797327
9,0.986133333333,0.0024061780883,0.9735,0.00479253221474
