epoch,acc,loss,val_acc,val_loss
0,0.141966666667,0.0896535567602,0.1837,0.089229067874
1,0.23255,0.0887049270908,0.3005,0.0880221929193
2,0.364933333333,0.0870077800711,0.4475,0.0855291405439
3,0.474683333333,0.0824520393888,0.4788,0.0774316037416
4,0.509816666667,0.0707952081223,0.5641,0.0635542543769
5,0.606666666667,0.0569857422988,0.6575,0.0489137299776
6,0.736933333333,0.0423331593573,0.8002,0.0346035779983
7,0.830283333333,0.029449781094,0.8531,0.0246522261545
8,0.861166666667,0.0227897959744,0.8766,0.0201446259394
9,0.878216666667,0.0194816518955,0.8858,0.0177843188704
