epoch,acc,loss,val_acc,val_loss
0,0.41475,0.0824149695237,0.6074,0.0729107830167
1,0.66765,0.0636548276722,0.7345,0.0534499430537
2,0.754816666667,0.0476888744026,0.7977,0.040718540591
3,0.809933333333,0.0378561845601,0.838,0.0329965853274
4,0.8397,0.0317706772228,0.8578,0.0282530722022
5,0.854683333333,0.0278989492148,0.8701,0.0251887506023
6,0.864583333333,0.0252928193023,0.8782,0.023056293913
7,0.87225,0.0234259839565,0.8849,0.0214811082453
8,0.877466666667,0.0220190120483,0.8883,0.0202987266593
9,0.881716666667,0.0209122270778,0.8929,0.0193231352646
