epoch,acc,loss,val_acc,val_loss
0,0.93855,0.00932900555748,0.9665,0.00494674044009
1,0.9726,0.00427156459838,0.9689,0.00488279423152
2,0.97975,0.00319960390615,0.9759,0.00358635876685
3,0.98305,0.00267165754198,0.9738,0.0040125786382
4,0.986583333333,0.00215222087919,0.9724,0.00437431694376
5,0.9881,0.00190978425952,0.9788,0.00330288818491
6,0.9891,0.00173435030605,0.9789,0.00338795646805
7,0.990883333333,0.00144870496071,0.9777,0.00366626439037
8,0.991066666667,0.00148790610355,0.9785,0.00354784912723
9,0.99155,0.0013642337877,0.9785,0.00343283770777
