epoch,acc,loss,val_acc,val_loss
0,0.53555,0.0700902691583,0.7684,0.0486418889999
1,0.80355,0.039359569178,0.8471,0.0309373839855
2,0.846983333333,0.0287404859374,0.8674,0.0247200897411
3,0.8644,0.024257784987,0.8803,0.0216219000362
4,0.8743,0.0217583381149,0.8874,0.0197316050071
5,0.881033333333,0.0201296883407,0.8923,0.0184458219793
6,0.886166666667,0.0189693617697,0.8965,0.0174993567392
7,0.890283333333,0.0180882522355,0.9,0.0167542320315
8,0.893216666667,0.0173920423639,0.9025,0.0161598768299
9,0.896716666667,0.016823739818,0.904,0.0156814479126
