epoch,acc,loss,val_acc,val_loss
0,0.944683333333,0.183265229852,0.9644,0.111694039018
1,0.975966666667,0.0777407454627,0.9769,0.074034853293
2,0.982883333333,0.0543429142927,0.9802,0.0681252590536
3,0.987483333333,0.0389318381234,0.9817,0.0633716096482
4,0.98935,0.0322166552693,0.978,0.0837519516974
5,0.9916,0.025362961698,0.9706,0.118683032679
6,0.99245,0.0228050776555,0.9805,0.080297067645
7,0.994433333333,0.0184201079409,0.9791,0.0986617126375
8,0.994633333333,0.017149405756,0.9838,0.0814780035306
9,0.994666666667,0.0174350781774,0.9828,0.0785753137392
