epoch,acc,loss,val_acc,val_loss
0,0.1371,0.0897126041094,0.2674,0.0889645268202
1,0.393733333333,0.0877894536614,0.479,0.0861458949924
2,0.5099,0.0831814513763,0.5451,0.0784311204672
3,0.578816666667,0.0698958928327,0.6392,0.0588355950892
4,0.71755,0.0490820011387,0.802,0.0378925880492
5,0.832783333333,0.0314060463334,0.8642,0.0249376877815
6,0.870883333333,0.0227507305962,0.8878,0.0195725893904
7,0.88825,0.0188626956289,0.8988,0.0169461204592
8,0.898783333333,0.016709424093,0.9053,0.0152547839151
9,0.905333333333,0.0153133621216,0.9111,0.0142046741645
