epoch,acc,loss,val_acc,val_loss
0,0.9352,0.00963990627036,0.9586,0.00635120425224
1,0.9685,0.0049637578366,0.9629,0.00561215562778
2,0.97375,0.00414731583807,0.9757,0.00389516303051
3,0.9789,0.00345031774535,0.9694,0.00500281303816
4,0.981483333333,0.0030393013063,0.9757,0.00391763666576
5,0.983666666667,0.00274957688503,0.9752,0.00420337950666
6,0.98225,0.00302550161719,0.978,0.00395011926527
7,0.984166666667,0.00273587795287,0.9765,0.00410115301694
8,0.985716666667,0.0025101003629,0.9743,0.00445854926227
9,0.985066666667,0.00263805876773,0.9781,0.00400789724297
