epoch,acc,loss,val_acc,val_loss
0,0.359583333333,0.0860784269094,0.5374,0.0802059300184
1,0.612066666667,0.0715167052885,0.6889,0.0614449917257
2,0.73235,0.0525529981544,0.7777,0.0437798628747
3,0.7987,0.0387804557999,0.8359,0.0329002661377
4,0.841966666667,0.0305463729943,0.8615,0.0266227232635
5,0.860333333333,0.0257661751096,0.8758,0.0229581709497
6,0.871716666667,0.0228336891959,0.8857,0.0206377685621
7,0.880766666667,0.0208564577786,0.8914,0.0190494692225
8,0.8867,0.0194285304248,0.897,0.0178747404397
9,0.891716666667,0.018331275108,0.9019,0.0169515436117
