epoch,acc,loss,val_acc,val_loss
0,0.341916666667,0.0869782599767,0.4634,0.0828395513415
1,0.508733333333,0.0752218536297,0.5836,0.0652319296002
2,0.679083333333,0.0551279781342,0.7776,0.0445290500343
3,0.8126,0.0379511659513,0.8558,0.030830734393
4,0.85745,0.0280479548827,0.8772,0.0238583525114
5,0.8762,0.0229429681192,0.8902,0.0202392797209
6,0.887533333333,0.0200631380377,0.8963,0.018078335176
7,0.8937,0.0182344086822,0.9005,0.0166197878418
8,0.899033333333,0.0169627505634,0.9049,0.0156212137787
9,0.902933333333,0.0160053461944,0.9092,0.0148633399605
