epoch,acc,loss,val_acc,val_loss
0,0.944316666667,0.18084982929,0.9643,0.118538323113
1,0.975266666667,0.0810678124031,0.9753,0.08517735679
2,0.982183333333,0.0571748611758,0.9715,0.104543879237
3,0.98605,0.0466352409206,0.9776,0.0803699171717
4,0.988266666667,0.037805853311,0.9746,0.093108762834
5,0.99055,0.0306503334484,0.9795,0.0775388497592
6,0.9914,0.0277401357567,0.9815,0.0792643349129
7,0.993033333333,0.0238987247207,0.9808,0.0964836676839
8,0.99275,0.0259131150149,0.9797,0.121126631044
9,0.993266666667,0.0233933345716,0.98,0.103121254226
