epoch,acc,loss,val_acc,val_loss
0,0.353683333333,0.0863902200818,0.5983,0.0804467175245
1,0.652583333333,0.0717496110737,0.7072,0.0605251294851
2,0.7356,0.0516571062952,0.7749,0.0424827228665
3,0.8011,0.037999752752,0.8381,0.0320822630823
4,0.845333333333,0.0300461796125,0.8668,0.0261016817793
5,0.8642,0.0253763587043,0.8806,0.0225653838858
6,0.876316666667,0.0224594286087,0.8885,0.0202265326377
7,0.884266666667,0.0204871879647,0.8941,0.0186648445453
8,0.890733333333,0.0190591212997,0.8977,0.0174595713262
9,0.8949,0.0179805711259,0.9021,0.0165858368197
