epoch,acc,loss,val_acc,val_loss
0,0.93535,0.00967831378565,0.9452,0.00867371243429
1,0.968316666667,0.00495113484831,0.9657,0.00514539136239
2,0.974733333333,0.00401235713663,0.9674,0.0053347825406
3,0.9786,0.003412234824,0.9766,0.00380486938896
4,0.98155,0.00297353637643,0.9711,0.00464504559318
5,0.982883333333,0.00286315220524,0.9749,0.0041369028133
6,0.9832,0.00285306549849,0.9741,0.00448703764428
7,0.98395,0.00276040562246,0.9744,0.00448561957592
8,0.986483333333,0.00235386735594,0.9739,0.00447520428909
9,0.985283333333,0.00256468066352,0.9771,0.00405082324553
