epoch,acc,loss,val_acc,val_loss
0,0.9151,0.0136988810059,0.9507,0.00766796934675
1,0.961983333333,0.00616481419715,0.9645,0.00549257469555
2,0.973233333333,0.00437364808785,0.971,0.00449891830089
3,0.980016666667,0.0032876283071,0.9755,0.0038474700095
4,0.985366666667,0.00252949806891,0.9764,0.00347964616052
5,0.988433333333,0.00202614061014,0.9762,0.00370033072485
6,0.9907,0.00165722099539,0.9785,0.00333866507798
7,0.992716666667,0.00133971979937,0.9808,0.00300961981787
8,0.99395,0.00110053774181,0.9804,0.00297372759143
9,0.99485,0.000952608041481,0.9803,0.00297643071471
