epoch,acc,loss,val_acc,val_loss
0,0.121533333333,0.0904387129545,0.144,0.0898771240234
1,0.153583333333,0.0898151943167,0.1268,0.0897221756458
2,0.161716666667,0.0896652973652,0.156,0.0895693501472
3,0.17715,0.089510645771,0.2471,0.0894159254313
4,0.210833333333,0.0893550375303,0.2235,0.0892502969027
5,0.216516666667,0.0891955743432,0.223,0.0890815839648
6,0.229716666667,0.0890277302663,0.2217,0.0889214994192
7,0.241983333333,0.0888582294464,0.2146,0.0887348377347
8,0.2426,0.0886801365932,0.2299,0.0885524407625
9,0.264716666667,0.0884951443553,0.2121,0.0883714808345
